NodeID, Uy
1, 4.692119e-03
2, 0.000000e+00
3, 4.692119e-03
4, 0.000000e+00
5, 4.666746e-03
6, 4.192162e-03
7, 3.389644e-03
8, -6.910361e-03
9, -1.866240e-02
10, -3.092760e-02
11, -4.372744e-02
12, -5.691498e-02
13, -7.032091e-02
14, -8.378859e-02
15, -9.717155e-02
16, -1.103280e-01
17, -1.231170e-01
18, -1.353982e-01
19, -1.470309e-01
20, -1.578744e-01
21, -1.677876e-01
22, -1.766287e-01
23, -1.842580e-01
24, -1.905369e-01
25, -1.953828e-01
26, -1.988541e-01
27, -2.023537e-01
28, -1.988541e-01
29, -1.953828e-01
30, -1.905369e-01
31, -1.842580e-01
32, -1.766287e-01
33, -1.677876e-01
34, -1.578744e-01
35, -1.470309e-01
36, -1.353982e-01
37, -1.231170e-01
38, -1.103280e-01
39, -9.717155e-02
40, -8.378859e-02
41, -7.032091e-02
42, -5.691498e-02
43, -4.372744e-02
44, -3.092760e-02
45, -1.866240e-02
46, -6.910361e-03
47, -6.588827e-03
48, -1.883865e-02
49, -3.138244e-02
50, -4.437202e-02
51, -5.761838e-02
52, -7.104060e-02
53, -8.450948e-02
54, -9.789156e-02
55, -1.110472e-01
56, -1.238359e-01
57, -1.361170e-01
58, -1.477498e-01
59, -1.585938e-01
60, -1.685089e-01
61, -1.773554e-01
62, -1.849925e-01
63, -1.912737e-01
64, -1.960287e-01
65, -1.990408e-01
66, -2.000791e-01
67, -1.990408e-01
68, -1.960287e-01
69, -1.912737e-01
70, -1.849925e-01
71, -1.773554e-01
72, -1.685089e-01
73, -1.585938e-01
74, -1.477498e-01
75, -1.361170e-01
76, -1.238359e-01
77, -1.110472e-01
78, -9.789156e-02
79, -8.450948e-02
80, -7.104060e-02
81, -5.761838e-02
82, -4.437202e-02
83, -3.138244e-02
84, -1.883865e-02
85, -6.588827e-03
86, 3.389644e-03
87, 4.192162e-03
88, 4.666746e-03
89, -2.010870e-01
90, -1.999167e-01
91, -1.999167e-01
92, -1.966850e-01
93, -1.966850e-01
94, -1.918031e-01
95, -1.918031e-01
96, -1.854368e-01
97, -1.854368e-01
98, -1.777186e-01
99, -1.777186e-01
100, -1.687904e-01
101, -1.687904e-01
102, -1.587919e-01
103, -1.587919e-01
104, -1.478638e-01
105, -1.478638e-01
106, -1.361466e-01
107, -1.361466e-01
108, -1.237811e-01
109, -1.237811e-01
110, -1.109078e-01
111, -1.109078e-01
112, -9.766744e-02
113, -9.766744e-02
114, -8.420061e-02
115, -8.420061e-02
116, -7.064761e-02
117, -7.064761e-02
118, -5.715035e-02
119, -5.715035e-02
120, -4.384611e-02
121, -4.384611e-02
122, -3.089388e-02
123, -3.089388e-02
124, -1.844142e-02
125, -1.844142e-02
126, -6.773338e-03
127, -6.870597e-03
128, -1.858088e-02
129, -3.088442e-02
130, -4.374994e-02
131, -5.700499e-02
132, -7.047543e-02
133, -8.400690e-02
134, -9.745320e-02
135, -1.106729e-01
136, -1.235252e-01
137, -1.358697e-01
138, -1.475657e-01
139, -1.584725e-01
140, -1.684491e-01
141, -1.773536e-01
142, -1.850459e-01
143, -1.913857e-01
144, -1.962735e-01
145, -1.995793e-01
146, -2.010989e-01
147, -1.995793e-01
148, -1.962735e-01
149, -1.913857e-01
150, -1.850459e-01
151, -1.773536e-01
152, -1.684491e-01
153, -1.584725e-01
154, -1.475657e-01
155, -1.358697e-01
156, -1.235252e-01
157, -1.106729e-01
158, -9.745320e-02
159, -8.400690e-02
160, -7.047543e-02
161, -5.700499e-02
162, -4.374994e-02
163, -3.088442e-02
164, -1.858088e-02
165, -6.870597e-03
166, -6.773338e-03
167, -6.408203e-03
168, -1.836568e-02
169, -3.101611e-02
170, -4.404303e-02
171, -5.735355e-02
172, -7.083645e-02
173, -8.436853e-02
174, -9.781374e-02
175, -1.110327e-01
176, -1.238847e-01
177, -1.362290e-01
178, -1.479251e-01
179, -1.588324e-01
180, -1.688107e-01
181, -1.777203e-01
182, -1.854211e-01
183, -1.917679e-01
184, -1.965904e-01
185, -1.996736e-01
186, -2.007550e-01
187, -1.996736e-01
188, -1.965904e-01
189, -1.917679e-01
190, -1.854211e-01
191, -1.777203e-01
192, -1.688107e-01
193, -1.588324e-01
194, -1.479251e-01
195, -1.362290e-01
196, -1.238847e-01
197, -1.110327e-01
198, -9.781374e-02
199, -8.436853e-02
200, -7.083645e-02
201, -5.735355e-02
202, -4.404303e-02
203, -3.101611e-02
204, -1.836568e-02
205, -6.408203e-03
206, 4.699365e-03
207, -1.111132e-03
208, 1.802818e-03
209, -7.552607e-04
210, -1.111132e-03
211, 4.699365e-03
212, -7.552607e-04
213, 1.802818e-03
214, 4.494953e-03
215, -1.147820e-03
216, 3.828441e-03
217, -1.259833e-03
218, -1.463719e-03
219, -1.274012e-02
220, -6.889246e-03
221, -2.472275e-02
222, -1.862132e-02
223, -3.726792e-02
224, -3.089587e-02
225, -5.028345e-02
226, -4.372762e-02
227, -6.360086e-02
228, -5.695240e-02
229, -7.705637e-02
230, -7.039589e-02
231, -9.049957e-02
232, -8.390079e-02
233, -1.037869e-01
234, -9.732083e-02
235, -1.167772e-01
236, -1.105142e-01
237, -1.293299e-01
238, -1.233402e-01
239, -1.413044e-01
240, -1.356583e-01
241, -1.525601e-01
242, -1.473279e-01
243, -1.629562e-01
244, -1.582084e-01
245, -1.723510e-01
246, -1.681583e-01
247, -1.806038e-01
248, -1.770366e-01
249, -1.875726e-01
250, -1.847002e-01
251, -1.931451e-01
252, -1.910205e-01
253, -1.972028e-01
254, -1.958619e-01
255, -2.001872e-01
256, -1.993766e-01
257, -2.001872e-01
258, -2.016516e-01
259, -1.972028e-01
260, -1.993766e-01
261, -1.931451e-01
262, -1.958619e-01
263, -1.875726e-01
264, -1.910205e-01
265, -1.806038e-01
266, -1.847002e-01
267, -1.723510e-01
268, -1.770366e-01
269, -1.629562e-01
270, -1.681583e-01
271, -1.525601e-01
272, -1.582084e-01
273, -1.413044e-01
274, -1.473279e-01
275, -1.293299e-01
276, -1.356583e-01
277, -1.167772e-01
278, -1.233402e-01
279, -1.037869e-01
280, -1.105142e-01
281, -9.049957e-02
282, -9.732083e-02
283, -7.705637e-02
284, -8.390079e-02
285, -6.360086e-02
286, -7.039589e-02
287, -5.028345e-02
288, -5.695240e-02
289, -3.726792e-02
290, -4.372762e-02
291, -2.472275e-02
292, -3.089587e-02
293, -1.274012e-02
294, -1.862132e-02
295, -6.889246e-03
296, -1.287782e-02
297, -6.156716e-03
298, -2.499202e-02
299, -1.858670e-02
